participant,task,step,x0,x1,x2,x3,choice,target,time
0,0,0,-1.46,-1.73,0.00,-0.00,1,1,408313.00
0,0,1,-0.44,0.16,-0.00,-1.36,0,1,420379.00
0,0,2,-0.81,0.37,-0.00,0.00,1,1,431205.00
0,0,3,1.84,-0.19,-0.04,0.00,0,0,442959.00
0,0,4,-1.30,-1.44,2.96,0.00,1,1,448754.00
0,0,5,-2.96,-1.33,0.00,0.00,1,1,452520.00
0,0,6,-0.09,1.06,0.00,0.02,1,0,460666.00
0,0,7,0.20,1.54,0.00,0.00,0,0,465610.00
0,0,8,-0.55,-1.14,0.00,-0.00,1,1,470618.00
0,0,9,0.92,-0.63,-0.00,0.00,0,0,475624.00
0,1,0,0.74,0.28,0.02,0.00,1,1,507896.00
0,1,1,-0.04,0.49,0.00,0.01,1,0,513261.00
0,1,2,-1.02,-2.08,-0.00,-0.13,0,0,518471.00
0,1,3,1.14,0.99,0.00,-0.06,1,1,523164.00
0,1,4,1.18,1.74,-0.00,-0.02,1,1,527871.00
0,1,5,-0.33,-1.32,0.00,0.40,0,0,533561.00
0,1,6,0.08,1.15,-0.00,-0.00,1,0,538203.00
0,1,7,-3.02,-3.11,-3.04,-0.00,0,0,542789.00
0,1,8,-1.80,-1.67,-0.00,-0.00,0,0,546315.00
0,1,9,-0.06,0.69,-0.00,-0.13,1,0,551466.00
0,2,0,-1.51,-1.98,0.01,-0.90,0,1,574798.00
0,2,1,-1.65,-2.58,0.00,-0.00,1,1,579751.00
0,2,2,0.01,-0.33,-0.00,0.00,0,1,585776.00
0,2,3,2.89,2.25,-0.00,-0.00,0,0,590105.00
0,2,4,-0.65,0.50,0.01,0.14,0,0,593839.00
0,2,5,1.71,1.01,-0.00,-0.02,0,0,597279.00
0,2,6,-4.35,-3.19,-0.00,0.00,1,1,600996.00
0,2,7,-0.20,-0.10,0.00,1.52,1,0,604966.00
0,2,8,-2.50,-0.31,-0.00,0.00,1,0,610621.00
0,2,9,0.09,0.76,0.00,-0.00,0,0,614403.00
0,3,0,0.90,-0.19,0.00,0.00,1,1,643331.00
0,3,1,-0.24,0.05,0.00,-0.00,0,0,649765.00
0,3,2,-2.36,3.30,-0.00,-0.00,0,0,654600.00
0,3,3,-0.12,0.71,0.02,0.20,0,1,661809.00
0,3,4,-0.54,3.00,0.28,0.00,0,1,669406.00
0,3,5,-0.55,0.64,0.00,0.00,1,0,676771.00
0,3,6,0.71,-0.25,0.00,0.00,1,1,681176.00
0,3,7,1.43,-1.06,-0.00,0.00,1,1,685583.00
0,3,8,-1.38,-1.08,-0.04,0.00,0,0,690248.00
0,3,9,-1.71,3.46,-0.00,-0.00,0,0,694389.00
0,4,0,1.58,-2.55,0.00,0.00,1,1,716992.00
0,4,1,-0.31,0.20,-0.00,0.10,1,0,722775.00
0,4,2,-0.47,-0.56,0.00,-0.10,0,0,728618.00
0,4,3,-0.53,2.16,0.00,0.00,1,1,734260.00
0,4,4,-2.74,-0.11,-0.00,0.04,0,0,741331.00
0,4,5,-0.40,2.50,-0.01,-0.00,1,1,744966.00
0,4,6,-0.85,-0.64,-0.00,0.00,0,0,748492.00
0,4,7,0.13,0.73,0.01,0.00,1,1,752415.00
0,4,8,-0.88,0.28,0.00,0.78,1,0,758503.00
0,4,9,0.81,-0.06,-0.00,0.00,0,1,763481.00
0,5,0,-1.80,-0.15,0.00,-0.01,0,1,791621.00
0,5,1,0.89,1.51,-0.00,0.00,0,0,797549.00
0,5,2,2.28,1.80,-0.00,-0.00,0,0,801429.00
0,5,3,1.40,0.11,-0.00,0.01,0,0,806450.00
0,5,4,-0.31,-2.84,-0.00,-0.01,1,1,815939.00
0,5,5,-0.65,-0.98,-0.00,-0.00,1,1,824071.00
0,5,6,-1.89,0.54,-0.00,0.00,0,1,843749.00
0,5,7,-0.32,-0.27,-0.01,-0.00,1,1,849702.00
0,5,8,-0.40,-0.40,0.00,0.00,1,0,858181.00
0,5,9,-0.44,-0.73,0.00,0.01,0,1,862931.00
0,6,0,-0.92,-0.16,0.01,0.03,1,0,884538.00
0,6,1,1.02,0.32,1.60,-0.00,1,1,893340.00
0,6,2,-2.11,-1.20,-0.74,0.01,0,0,897291.00
0,6,3,0.65,-1.28,0.00,0.04,0,0,909169.00
0,6,4,-2.43,-1.60,-0.11,0.00,0,0,913181.00
0,6,5,0.81,-1.26,-0.00,-0.00,0,0,919124.00
0,6,6,-1.46,-1.98,-0.01,0.00,0,0,923711.00
0,6,7,-0.71,-0.50,0.01,0.02,0,0,927388.00
0,6,8,-3.55,-2.56,0.00,-0.02,0,0,931949.00
0,6,9,3.05,2.03,0.01,-0.00,1,1,938374.00
0,7,0,1.61,0.32,-0.00,0.00,1,0,964177.00
0,7,1,1.38,0.31,-2.40,-0.03,0,0,968934.00
0,7,2,-0.09,0.07,-0.10,-0.00,1,1,984902.00
0,7,3,-3.05,1.35,0.00,-0.00,1,1,990022.00
0,7,4,-0.40,0.32,0.00,-0.00,1,1,995422.00
0,7,5,0.49,0.18,-0.00,-0.62,0,0,1000478.00
0,7,6,1.90,-0.59,4.16,0.00,0,0,1004799.00
