participant,task,step,x0,x1,x2,x3,choice,target,time
0,0,0,-1.33,-2.75,0.97,-1.13,1,1,136894.00
0,0,1,-1.30,2.63,-2.45,-0.65,1,1,152402.00
0,0,2,0.81,-0.58,-0.09,0.93,0,0,164644.00
0,0,3,0.11,-0.09,-0.98,0.95,0,1,175852.00
0,0,4,-0.28,0.22,-2.66,1.43,1,1,185874.00
0,0,5,0.22,1.04,-0.59,0.09,1,0,195200.00
0,0,6,1.22,-0.73,-2.73,1.84,0,1,212143.00
0,0,7,-1.07,-0.53,-0.68,-0.02,1,1,220675.00
0,0,8,0.31,-0.81,0.07,0.66,0,1,241477.00
0,0,9,-0.17,-0.99,0.24,-0.51,1,1,266008.00
0,1,0,2.23,1.21,-0.97,-1.13,0,1,283681.00
0,1,1,-2.46,2.38,-0.12,4.37,0,0,296799.00
0,1,2,-0.78,-1.57,-0.52,0.20,1,1,305301.00
0,1,3,0.31,-0.72,1.10,1.46,0,0,311493.00
0,1,4,-2.85,-2.73,1.78,1.48,0,0,319459.00
0,1,5,0.01,2.73,-0.01,0.98,0,0,326357.00
0,1,6,-1.35,0.79,-1.40,0.37,1,1,335805.00
0,1,7,2.60,2.67,-1.09,-1.64,0,1,368823.00
0,1,8,1.96,-1.24,1.84,-0.58,1,1,378133.00
0,1,9,-0.77,-2.62,3.01,0.74,1,0,392353.00
0,2,0,-0.41,2.01,-0.47,-1.84,0,0,410935.00
0,2,1,1.05,0.53,1.77,-2.12,1,1,424076.00
0,2,2,-1.24,-1.08,0.26,0.18,1,1,432792.00
0,2,3,0.33,-0.31,-1.86,1.58,1,0,444223.00
0,2,4,1.57,1.03,1.38,-0.12,0,0,456128.00
0,2,5,-0.83,0.52,-1.38,-1.13,1,1,462338.00
0,2,6,-0.55,-0.97,0.00,0.80,1,1,471114.00
0,2,7,-0.58,-2.69,1.70,0.99,1,1,496442.00
0,2,8,2.67,1.43,1.73,-2.50,0,0,502636.00
0,2,9,1.00,-1.10,-0.65,-0.63,1,1,509228.00
0,3,0,3.02,-2.81,-0.87,0.31,1,1,525040.00
0,3,1,-2.02,0.98,0.53,-2.87,1,1,531484.00
0,3,2,0.57,0.42,-1.00,2.31,0,0,541698.00
0,3,3,-2.18,4.01,-1.75,0.89,0,0,551606.00
0,3,4,1.12,-2.20,0.32,-1.64,1,1,560588.00
0,3,5,-2.38,0.27,2.62,-3.58,1,1,570442.00
0,3,6,1.51,-0.54,-2.55,-0.22,1,1,581774.00
0,3,7,1.86,-2.23,-1.16,0.71,0,1,590698.00
0,3,8,-1.34,-0.20,3.57,-1.84,1,0,604407.00
0,3,9,1.45,-2.31,-1.00,-1.55,1,1,613902.00
0,4,0,-0.46,0.36,0.51,-0.43,1,0,628372.00
0,4,1,-0.58,-0.04,-0.63,-1.28,1,1,639901.00
0,4,2,0.12,-1.78,1.04,0.77,0,1,655573.00
0,4,3,-2.49,-1.98,-1.85,0.74,1,1,659714.00
0,4,4,0.96,-1.00,-0.62,1.82,1,1,664636.00
0,4,5,-1.40,-0.16,-1.41,-0.78,1,1,669465.00
0,4,6,-0.53,-1.29,0.20,-0.18,1,1,676723.00
0,4,7,-0.47,1.80,-0.59,-1.90,0,0,684805.00
0,4,8,0.82,-1.47,-1.44,2.58,1,1,689451.00
0,4,9,0.61,0.35,1.68,0.89,0,0,695250.00
0,5,0,2.57,-0.21,1.73,0.45,0,0,703471.00
0,5,1,1.81,-0.58,2.05,-1.23,0,0,708149.00
0,5,2,0.02,-0.91,-0.83,-0.17,1,1,721998.00
0,5,3,-0.97,2.17,-0.79,1.86,0,1,731964.00
0,5,4,-0.57,0.85,-1.18,1.96,0,1,745124.00
0,5,5,-1.80,2.30,-1.59,1.79,0,1,750753.00
0,5,6,1.61,-0.28,1.78,-0.92,1,0,760881.00
0,5,7,-0.55,1.05,-0.35,0.25,0,1,770940.00
0,5,8,-1.28,2.04,-0.56,0.64,0,0,824213.00
0,5,9,-0.51,1.08,0.96,0.07,0,0,835303.00
0,6,0,-1.74,1.60,-0.45,1.54,1,0,853969.00
0,6,1,0.78,-1.51,-1.02,0.01,0,1,859638.00
0,6,2,-0.78,-0.06,-1.60,2.86,1,1,873206.00
0,6,3,0.89,0.37,1.05,-1.21,0,0,878070.00
0,6,4,2.25,-0.06,1.91,-2.31,0,0,886511.00
0,6,5,0.06,0.89,0.74,1.37,0,0,891709.00
0,6,6,-0.05,3.37,4.97,-0.56,0,0,896166.00
0,6,7,0.27,-0.06,0.51,-0.74,0,0,908318.00
0,6,8,1.34,0.26,0.36,-1.19,0,0,925671.00
0,6,9,-1.53,-0.11,-0.58,0.82,0,1,939480.00
0,7,0,-1.23,1.99,-1.25,-0.60,1,1,954113.00
0,7,1,2.55,-1.31,0.61,2.09,0,0,964282.00
0,7,2,-0.06,2.70,-0.82,-1.45,1,1,976411.00
0,7,3,-0.02,2.03,-0.48,0.74,0,0,992031.00
0,7,4,-0.90,-0.86,-1.36,-0.23,1,1,997817.00
0,7,5,2.81,-1.74,-0.77,-0.75,1,1,1011029.00
0,7,6,1.67,0.56,-1.76,1.06,0,0,1017204.00
0,7,7,-0.08,1.31,3.25,1.33,0,0,1023660.00
0,7,8,-0.68,1.19,-0.22,-0.41,0,0,1034809.00
0,7,9,-1.10,0.25,-1.22,0.07,0,1,1051131.00
0,8,0,0.39,1.22,-0.75,-1.05,1,1,1081038.00
0,8,1,-0.43,1.21,-0.53,1.37,0,0,1088009.00
0,8,2,1.70,-2.28,-1.09,0.66,1,1,1102068.00
0,8,3,-0.67,0.12,-0.43,-0.10,1,1,1110221.00
0,8,4,-1.84,0.49,0.15,0.33,0,0,1120695.00
0,8,5,-2.26,-2.59,1.81,-2.47,1,1,1131236.00
0,8,6,0.16,1.05,-0.11,0.57,0,0,1140027.00
0,8,7,-1.36,-0.40,1.20,0.76,0,0,1153765.00
0,8,8,-1.01,-0.07,2.40,-0.63,0,0,1167244.00
0,8,9,-0.18,1.33,-0.43,-1.96,0,1,1181171.00
0,9,0,0.96,-0.95,0.66,0.07,1,0,1191524.00
0,9,1,0.35,0.59,1.37,-1.57,0,1,1196191.00
0,9,2,-1.18,1.40,2.42,-0.33,0,0,1205001.00
0,9,3,2.80,-2.44,1.04,-0.92,0,0,1211562.00
0,9,4,0.54,-1.98,1.32,1.58,0,0,1220789.00
0,9,5,-1.14,2.05,0.02,-0.49,0,1,1230525.00
0,9,6,0.34,-3.59,1.40,2.76,0,0,1241383.00
0,9,7,0.52,-1.67,0.82,1.18,0,0,1248397.00
0,9,8,2.21,-1.99,0.79,-1.43,1,1,1259728.00
0,9,9,0.18,0.86,3.22,-1.65,0,0,1270965.00
0,10,0,2.86,-4.34,2.22,1.76,0,0,1285509.00
0,10,1,0.99,-3.23,2.56,-0.17,0,0,1300153.00
0,10,2,0.56,1.68,-1.46,-0.10,0,0,1315596.00
0,10,3,0.50,-0.01,-0.41,-0.32,0,1,1322353.00
0,10,4,-0.65,2.56,0.26,0.44,0,0,1326972.00
0,10,5,-0.11,1.41,0.64,-0.07,0,0,1331714.00
0,10,6,-1.31,2.56,-0.21,-0.87,0,1,1344492.00
0,10,7,-0.77,0.03,0.45,-0.44,1,1,1361331.00
0,10,8,-0.18,-0.57,2.25,2.12,1,0,1366701.00
0,10,9,2.31,-0.66,-0.54,1.85,1,0,1375718.00
0,11,0,-3.59,0.52,2.72,3.79,0,0,1391731.00
0,11,1,-2.46,-0.03,1.32,3.48,0,0,1399201.00
0,11,2,2.13,-1.46,-2.62,0.25,0,1,1446400.00
0,11,3,1.80,0.01,-0.13,1.26,0,1,1456652.00
0,11,4,1.16,1.03,0.19,-0.23,0,0,1460999.00
0,11,5,0.48,-0.05,-1.15,-0.53,1,1,1466055.00
0,11,6,1.80,3.45,2.05,-0.41,0,0,1470297.00
0,11,7,-0.91,1.58,2.00,-0.25,0,0,1474200.00
0,11,8,-0.80,0.21,0.15,3.96,0,0,1479167.00
0,11,9,1.47,-1.08,-1.13,1.33,1,1,1483277.00
