participant,task,step,x0,x1,x2,x3,choice,target,time
0,9,6,-2.35,1.16,-0.31,1.68,0,0,1154165.00
0,9,7,-1.49,1.60,-0.91,-1.98,0,0,1158884.00
0,9,8,-0.33,0.65,-1.25,-0.70,0,1,1164583.00
0,9,9,-1.26,-0.06,-1.40,-1.40,1,1,1174285.00
0,10,0,2.24,-0.59,0.86,1.46,0,0,1185143.00
0,10,1,-0.21,0.05,-1.07,-1.34,1,1,1190914.00
0,10,2,-0.43,0.88,-0.63,0.91,1,1,1199757.00
0,10,3,-3.69,-0.46,-1.43,-2.06,1,1,1203373.00
0,10,4,-0.11,0.86,-0.98,0.05,1,1,1208359.00
0,10,5,-1.05,-1.64,-0.26,-0.09,1,0,1212204.00
0,10,6,0.18,0.99,1.09,0.66,1,1,1216501.00
0,10,7,1.57,1.46,0.86,0.51,1,1,1221724.00
0,10,8,-0.61,-2.61,0.72,0.32,0,0,1236963.00
0,10,9,-0.75,0.14,-1.56,-0.70,0,1,1244630.00
0,11,0,0.55,2.47,2.96,-3.08,0,1,1254911.00
0,11,1,-0.53,1.27,-1.40,-0.88,0,0,1259940.00
0,11,2,0.91,1.82,1.23,-1.81,1,1,1264258.00
0,11,3,-0.78,-0.57,-1.66,2.16,0,1,1268553.00
0,11,4,0.67,-0.79,-0.39,1.23,0,1,1273731.00
0,11,5,-0.71,-1.65,-3.10,4.74,1,1,1279047.00
0,11,6,0.65,0.62,0.23,0.69,0,1,1286369.00
0,11,7,1.37,-0.86,1.84,0.12,0,1,1292700.00
0,11,8,1.01,-1.48,-0.24,0.66,1,0,1298335.00
0,11,9,-0.96,-3.32,-0.13,2.86,0,1,1302515.00
0,12,0,-1.55,0.03,-0.51,-1.18,1,1,1313387.00
0,12,1,0.40,2.61,0.13,-0.58,0,0,1319187.00
0,12,2,-1.01,2.47,0.28,2.26,1,0,1323634.00
0,12,3,-3.54,-0.14,-1.92,1.92,0,0,1327412.00
0,12,4,-1.57,1.05,-0.59,0.65,0,0,1331317.00
0,12,5,-0.94,-0.32,-0.04,1.87,0,0,1334855.00
0,12,6,2.68,-0.72,0.67,0.60,1,0,1339266.00
0,12,7,0.57,0.05,0.31,1.09,0,0,1344814.00
0,12,8,0.00,-0.31,-0.11,-0.75,0,1,1374064.00
0,12,9,0.23,0.21,0.92,0.23,1,0,1383242.00
0,13,0,0.97,0.07,-0.90,-0.88,0,0,1390024.00
0,13,1,1.98,-2.06,-2.15,-2.88,0,0,1393487.00
0,13,2,2.21,-0.58,-0.78,-3.10,0,0,1396682.00
0,13,3,1.24,1.66,1.55,0.15,0,0,1399992.00
0,13,4,0.15,-0.37,-1.89,-1.38,0,1,1409581.00
0,13,5,-1.15,-2.59,-1.00,2.45,1,1,1415248.00
0,13,6,-0.62,-1.44,0.69,-0.07,1,1,1419690.00
0,13,7,-0.30,-0.73,-0.85,0.17,1,1,1424096.00
0,13,8,-0.26,-1.57,-1.15,-0.02,1,1,1427931.00
0,13,9,0.86,1.95,-0.54,0.00,0,0,1432070.00
0,14,0,1.07,0.17,1.36,0.12,0,0,1438816.00
0,14,1,1.12,2.18,-0.97,0.00,0,0,1443226.00
0,14,2,0.11,-0.58,2.20,-1.25,0,0,1448279.00
0,14,3,-0.01,0.26,-2.79,-0.36,1,1,1452950.00
0,14,4,-0.71,1.60,-0.05,0.14,1,0,1459228.00
0,14,5,0.69,1.20,1.20,-1.37,1,0,1463310.00
0,14,6,1.02,0.04,-0.78,-0.98,0,1,1470114.00
0,14,7,0.04,0.54,1.80,1.63,0,0,1477868.00
0,14,8,1.21,0.55,-1.37,-2.35,0,1,1481619.00
0,14,9,0.38,-1.27,-0.09,0.68,0,1,1486737.00
0,15,0,1.55,-0.15,1.26,0.49,0,0,1494457.00
0,15,1,-0.37,1.67,-1.53,-1.67,1,1,1500644.00
0,15,2,3.93,-1.63,-2.39,-0.67,0,0,1504893.00
0,15,3,-2.01,-0.91,1.80,-0.11,1,1,1508770.00
0,15,4,3.01,-0.43,-1.92,-2.37,0,1,1518448.00
0,15,5,-1.97,1.04,0.75,2.69,1,0,1522704.00
0,15,6,1.02,0.01,0.44,0.67,0,0,1533660.00
0,15,7,1.46,0.85,-2.94,0.17,0,0,1540788.00
0,15,8,1.99,1.49,-1.88,-1.21,0,0,1545315.00
0,15,9,-2.26,-0.69,0.31,1.91,1,0,1552089.00
0,16,0,0.84,0.37,0.03,-1.13,1,0,1589197.00
0,16,1,3.04,1.42,1.30,-1.45,0,0,1594014.00
0,16,2,1.72,-0.52,2.70,0.87,1,0,1598286.00
0,16,3,1.95,-1.51,-2.07,0.45,1,0,1602449.00
0,16,4,1.50,-0.20,-0.79,0.79,0,0,1609095.00
0,16,5,-0.48,-2.12,-1.63,-0.17,0,0,1613187.00
0,16,6,-2.41,2.19,0.63,-0.49,1,1,1618570.00
0,16,7,-0.46,-2.16,-0.42,-1.09,0,0,1624153.00
0,16,8,-2.07,-2.73,-1.73,0.92,0,1,1628666.00
0,16,9,1.21,1.72,-2.32,-2.82,1,0,1633501.00
0,17,0,1.55,2.04,1.38,0.71,0,0,1644309.00
0,17,1,1.34,1.76,1.42,0.15,0,0,1648451.00
0,17,2,2.71,1.49,0.67,-1.28,0,0,1652006.00
0,17,3,-0.19,-0.60,1.62,-0.43,1,0,1657116.00
0,17,4,1.80,-0.20,-1.01,2.10,0,0,1662760.00
0,17,5,-1.41,0.30,3.90,-0.31,1,0,1666812.00
0,17,6,0.09,-0.11,-2.55,1.73,1,1,1671548.00
0,17,7,-1.16,-0.84,-0.78,-1.02,1,1,1680111.00
0,17,8,-1.55,1.84,1.38,1.11,1,0,1684000.00
0,17,9,0.33,-1.32,-1.24,0.54,0,1,1690066.00
0,18,0,0.50,0.83,-0.37,0.41,0,1,1700175.00
