participant,task,step,x0,x1,x2,x3,choice,target,time
0,0,0,-0.82,0.30,-0.53,-0.32,1,1,240670.00
0,0,1,-0.41,-0.81,-0.74,-1.06,1,1,253200.00
0,0,2,1.13,-0.19,1.34,0.84,0,0,264172.00
0,0,3,-1.58,-0.55,2.55,-0.55,1,0,272521.00
0,0,4,-1.22,0.69,-0.91,-1.05,1,1,280910.00
0,0,5,-0.21,0.04,0.43,2.09,1,0,290509.00
0,0,6,0.98,-0.66,0.48,0.02,0,0,300037.00
0,0,7,1.13,-1.37,1.28,2.70,0,0,309280.00
0,0,8,-0.16,0.72,-0.92,-0.12,1,1,315479.00
0,0,9,-1.01,-1.82,1.72,-1.59,1,0,321342.00
0,1,0,0.28,0.39,-1.37,0.23,1,0,332018.00
0,1,1,2.15,0.69,1.53,1.60,0,1,336969.00
0,1,2,-2.41,-1.66,1.45,-2.21,1,0,348636.00
0,1,3,2.21,0.31,0.19,0.97,1,1,361450.00
0,1,4,-0.81,1.63,-1.43,0.32,0,0,371767.00
0,1,5,-1.05,-0.79,-0.52,-0.87,0,0,379503.00
0,1,6,-0.04,0.48,-1.39,0.80,1,0,387165.00
0,1,7,-2.72,-1.56,0.85,-2.41,0,0,391774.00
0,1,8,-0.47,0.68,-0.98,-0.85,0,0,403685.00
0,1,9,1.30,0.57,-2.09,0.35,1,1,408962.00
0,2,0,-1.17,-0.16,0.73,-1.23,1,0,415469.00
0,2,1,3.04,-2.48,1.19,-2.92,1,1,419498.00
0,2,2,0.25,-0.28,0.00,0.23,1,1,423066.00
0,2,3,-1.68,-2.60,0.97,-0.54,0,0,429394.00
0,2,4,2.41,1.34,-0.79,-1.97,1,1,433355.00
0,2,5,-0.40,-2.53,0.15,-1.67,0,1,436762.00
0,2,6,-1.54,1.82,-1.77,1.62,0,0,440054.00
0,2,7,0.56,2.67,-1.89,1.23,1,0,445333.00
0,2,8,-0.82,-1.52,3.00,0.26,0,0,449296.00
0,2,9,-1.22,-1.26,0.18,1.82,0,0,453542.00
0,3,0,0.04,-0.51,0.78,-0.83,1,1,463048.00
0,3,1,0.00,-1.02,0.72,-0.41,1,1,468975.00
0,3,2,2.06,2.00,-2.67,1.91,0,0,474169.00
0,3,3,0.66,0.83,-1.18,1.00,0,0,479983.00
0,3,4,-0.86,-0.18,0.92,-0.48,1,1,488539.00
0,3,5,0.38,2.11,-1.88,2.38,0,0,494424.00
0,3,6,2.03,0.26,0.41,-1.14,0,0,499149.00
0,3,7,-0.98,-2.35,2.66,-1.42,1,1,502728.00
0,3,8,0.50,0.48,-0.91,-0.26,0,0,506660.00
0,3,9,1.11,4.60,-0.31,4.06,0,0,510575.00
0,4,0,-0.60,-0.16,0.40,-0.25,1,0,519080.00
0,4,1,0.90,0.93,-0.22,1.60,1,1,522818.00
0,4,2,1.01,-1.16,1.28,-2.38,1,1,527471.00
0,4,3,0.46,1.46,1.71,-0.83,1,1,532239.00
0,4,4,1.26,1.75,1.60,0.07,1,1,535705.00
0,4,5,2.19,0.94,2.38,-0.87,1,1,538693.00
0,4,6,1.08,0.34,0.75,-0.12,1,1,543544.00
0,4,7,0.38,1.00,2.20,-0.92,1,1,547074.00
0,4,8,-1.97,0.86,-1.62,1.46,0,0,550927.00
0,4,9,-0.71,-0.51,0.09,-0.02,0,0,553864.00
0,5,0,2.26,-0.62,-0.14,-1.18,1,1,559769.00
0,5,1,-0.02,-2.00,-0.42,-0.66,1,1,564663.00
0,5,2,1.40,-0.30,-0.05,-0.37,1,1,570231.00
0,5,3,-0.73,1.87,0.18,0.29,0,0,575697.00
0,5,4,0.89,-1.73,0.35,0.75,1,1,580760.00
0,5,5,1.27,-1.47,-0.86,0.71,1,1,584865.00
0,5,6,-0.21,-0.39,1.50,0.90,0,0,593432.00
0,5,7,2.46,-1.32,-3.77,0.82,1,1,599674.00
0,5,8,0.18,0.88,-0.34,-1.18,1,0,604587.00
0,5,9,-0.23,0.42,1.67,1.03,0,0,610686.00
0,6,0,0.79,0.75,1.02,-0.80,1,1,618623.00
0,6,1,-1.05,-1.47,-1.61,0.78,0,0,621756.00
0,6,2,-0.19,-1.20,1.39,0.58,0,0,625055.00
0,6,3,-1.91,0.37,0.26,-1.41,0,0,627937.00
0,6,4,-0.61,0.03,0.26,0.19,0,0,631129.00
0,6,5,1.11,-1.64,-0.21,1.92,1,1,635142.00
0,6,6,0.85,-0.15,1.56,1.24,1,1,638134.00
0,6,7,-1.75,-0.04,0.60,0.49,0,0,640811.00
0,6,8,-3.47,-2.00,-1.50,1.88,0,0,643617.00
0,6,9,-1.25,0.17,-0.76,-0.78,0,0,646795.00
0,7,0,-1.19,-0.72,0.77,0.69,0,1,652745.00
0,7,1,3.08,-0.65,0.85,0.52,0,0,656388.00
0,7,2,-0.56,2.04,0.92,1.34,1,0,659874.00
0,7,3,0.47,-1.31,0.94,-0.86,0,1,664994.00
0,7,4,3.32,-2.04,-0.14,-0.89,1,0,671540.00
0,7,5,3.02,0.26,-0.22,0.58,0,0,677868.00
0,7,6,-0.95,0.38,2.75,0.91,1,1,686897.00
0,7,7,0.67,-1.27,-1.59,-1.85,0,1,691855.00
0,7,8,-0.24,-0.22,-1.31,-2.82,1,1,696403.00
0,7,9,2.09,2.26,1.19,2.39,0,0,699584.00
0,8,0,-1.66,-0.82,0.22,0.07,1,1,705492.00
0,8,1,1.92,-3.32,-0.32,0.38,0,1,708778.00
0,8,2,2.19,-0.97,-0.84,-0.63,0,0,711926.00
0,8,3,0.23,-1.68,-0.16,-1.37,0,1,717747.00
0,8,4,1.16,-0.26,-0.91,-1.48,0,0,725330.00
0,8,5,0.14,0.84,-0.67,1.22,0,0,731854.00
0,8,6,0.03,1.56,2.06,0.13,0,0,739435.00
0,8,7,1.09,-0.10,1.30,3.13,0,0,743709.00
0,8,8,-1.80,0.55,4.57,3.10,0,1,749235.00
0,8,9,-0.33,0.41,-1.30,-0.93,1,1,756113.00
0,9,0,0.71,-1.00,-0.57,0.78,0,0,764356.00
0,9,1,-1.36,1.74,0.19,-0.45,1,1,767835.00
0,9,2,-0.11,0.96,-0.54,-0.64,1,0,771797.00
0,9,3,-0.61,0.56,-1.59,-0.13,1,1,775604.00
0,9,4,-1.78,1.36,1.28,-1.45,1,1,778646.00
0,9,5,0.27,0.93,2.02,0.01,0,0,781795.00
0,9,6,1.90,-1.68,-2.32,0.86,0,0,784774.00
0,9,7,-0.65,0.05,0.09,-0.06,1,1,787879.00
0,9,8,0.99,-0.28,-1.48,0.17,0,0,791573.00
0,9,9,-0.27,0.25,1.44,0.90,1,0,794708.00
0,10,0,0.21,-0.13,0.29,0.65,0,0,800601.00
0,10,1,-1.60,-1.34,2.52,1.47,1,1,803605.00
0,10,2,1.27,0.40,-0.50,-1.75,0,0,806893.00
0,10,3,1.82,0.74,-1.81,-1.67,0,0,809785.00
0,10,4,0.27,0.20,1.20,1.08,0,1,812779.00
0,10,5,0.26,-0.25,0.66,0.25,0,0,816100.00
0,10,6,-0.83,-0.14,0.80,0.50,1,1,820808.00
0,10,7,0.21,-1.33,0.58,0.87,0,0,824091.00
0,10,8,-1.30,-1.71,1.53,2.32,1,0,827132.00
0,10,9,-0.32,-1.38,0.58,0.47,1,0,830401.00
0,11,0,-0.29,0.75,0.97,1.57,1,1,836784.00
0,11,1,2.41,-2.12,2.50,1.81,0,0,841436.00
0,11,2,1.38,-0.40,0.66,-0.09,0,0,845681.00
0,11,3,1.18,0.33,2.54,1.73,0,1,851285.00
0,11,4,1.11,-1.97,-1.83,-1.26,0,0,855780.00
0,11,5,-1.60,-0.36,-1.29,-0.04,1,1,858737.00
0,11,6,1.71,1.35,1.80,2.44,0,1,862203.00
0,11,7,0.94,-2.55,-1.89,-1.03,0,0,865827.00
0,11,8,0.20,-0.64,0.80,1.95,0,1,870684.00
0,11,9,1.58,1.57,0.90,-2.19,0,0,874002.00
0,12,0,1.52,-1.58,-0.18,1.25,0,0,879158.00
0,12,1,0.95,-0.05,0.69,-0.24,0,0,883881.00
0,12,2,0.34,0.80,-1.56,0.75,0,0,888528.00
0,12,3,-2.61,0.89,-0.79,0.11,1,1,891905.00
0,12,4,1.57,-1.43,1.52,-0.13,0,1,895217.00
0,12,5,-1.19,0.25,0.65,2.28,1,1,898907.00
0,12,6,1.07,-0.62,-0.32,0.37,0,0,902482.00
0,12,7,0.75,0.99,-0.66,0.08,0,0,905592.00
0,12,8,-2.31,2.25,-1.23,-1.33,1,0,909310.00
0,12,9,0.37,0.44,-0.14,-1.55,0,0,916815.00
0,13,0,-0.54,0.43,-1.09,-1.76,1,0,922265.00
0,13,1,2.03,-0.21,2.42,0.46,1,1,925968.00
0,13,2,-4.19,4.34,-1.96,-1.40,0,1,928991.00
0,13,3,2.56,-2.91,2.18,-1.56,1,0,933443.00
0,13,4,1.20,-1.28,0.90,0.06,0,0,939465.00
0,13,5,-0.15,-1.03,-0.97,0.91,1,0,943673.00
0,13,6,-1.03,-0.67,-1.57,-0.06,1,0,947139.00
0,13,7,-2.97,1.00,-3.97,-0.51,1,1,950314.00
0,13,8,-0.78,0.48,-2.35,-0.39,1,0,954612.00
0,13,9,-2.10,1.03,1.37,1.56,1,1,962388.00
0,14,0,-4.40,1.08,0.70,-2.67,1,0,967399.00
0,14,1,-0.08,0.78,-0.86,0.39,0,0,970699.00
0,14,2,0.19,2.12,-0.15,-1.44,1,0,974180.00
0,14,3,0.91,0.49,-1.06,-0.59,1,1,977570.00
0,14,4,1.24,3.28,-0.98,-0.06,1,0,981556.00
0,14,5,-0.22,0.33,1.40,-1.73,0,0,984604.00
0,14,6,0.40,1.65,-0.26,0.64,1,0,990216.00
0,14,7,1.09,-1.63,-1.66,2.16,1,1,995376.00
0,14,8,-0.47,2.03,-2.50,0.83,0,0,1000593.00
0,14,9,0.84,-2.11,3.43,-0.72,1,1,1005721.00
0,15,0,0.02,-0.11,0.66,2.57,0,0,1013311.00
0,15,1,-1.42,-0.10,-1.55,-2.27,1,1,1018718.00
0,15,2,-1.98,0.43,1.75,1.15,1,1,1022597.00
0,15,3,-1.30,2.00,1.86,-1.06,1,1,1025766.00
0,15,4,0.79,-0.24,2.16,0.99,0,0,1028846.00
0,15,5,1.45,0.18,-0.69,0.33,0,0,1031773.00
0,15,6,-0.02,0.27,0.13,0.02,1,1,1041832.00
0,15,7,0.56,1.01,-2.39,0.87,0,1,1045577.00
0,15,8,0.69,1.77,0.79,-0.71,0,0,1047850.00
0,15,9,1.62,-1.13,-1.70,1.89,0,0,1051019.00
0,16,0,-1.53,1.01,-1.36,0.17,1,0,1055979.00
0,16,1,-1.04,-0.54,-0.14,-0.22,0,0,1058933.00
0,16,2,0.24,-1.27,0.26,-0.08,0,0,1062586.00
0,16,3,0.64,1.60,-0.53,2.13,1,1,1067285.00
0,16,4,-0.12,-0.22,0.04,-2.88,0,0,1071460.00
0,16,5,-2.70,-0.30,-0.72,2.70,0,0,1074418.00
0,16,6,-2.77,0.26,-1.07,0.72,0,0,1077234.00
0,16,7,1.79,-0.57,2.64,-1.95,1,1,1080255.00
0,16,8,-2.01,-1.17,-0.10,-0.11,0,0,1083427.00
0,16,9,-0.59,-3.37,2.32,1.10,0,0,1087959.00
0,17,0,-0.10,1.12,-1.54,-0.36,1,1,1095118.00
0,17,1,-1.99,2.69,-0.50,-1.87,1,1,1099888.00
0,17,2,0.04,0.30,1.31,0.34,1,1,1107817.00
0,17,3,-0.77,-1.36,1.44,-0.53,1,1,1111847.00
0,17,4,-1.05,-1.47,0.42,-1.99,1,1,1118344.00
0,17,5,1.09,-1.64,-0.55,-1.09,0,0,1122747.00
0,17,6,0.47,2.01,-0.97,-2.10,0,1,1125947.00
0,17,7,2.07,0.75,2.97,2.88,0,0,1129328.00
0,17,8,-0.71,-0.08,1.91,0.49,1,1,1132472.00
0,17,9,-1.45,-0.68,2.37,-0.53,1,1,1136419.00
0,18,0,-0.39,1.71,1.58,-1.42,1,1,1150507.00
0,18,1,1.89,-1.86,-0.84,1.60,0,0,1153627.00
0,18,2,1.96,-3.72,-2.58,1.84,0,0,1156344.00
0,18,3,0.19,-3.63,-2.09,1.19,1,0,1159100.00
0,18,4,0.10,-0.46,-0.71,1.05,1,1,1163335.00
0,18,5,-0.83,2.84,-0.03,-0.51,1,1,1167606.00
0,18,6,-1.90,1.22,-0.50,0.39,1,1,1170619.00
0,18,7,-0.37,0.38,-0.61,-0.08,1,1,1173659.00
0,18,8,1.32,-1.20,-0.97,0.60,0,0,1176726.00
0,18,9,1.77,-2.05,-1.52,1.35,0,0,1179867.00
0,19,0,0.73,0.28,-0.27,-0.68,1,0,1186111.00
0,19,1,0.48,-0.95,0.08,-0.55,1,0,1189398.00
0,19,2,0.53,-0.49,0.01,-1.52,0,0,1192907.00
0,19,3,1.25,1.32,-0.02,-1.68,0,0,1196034.00
0,19,4,-0.66,-0.87,0.05,-0.44,1,0,1199214.00
0,19,5,-1.05,1.25,-1.49,-0.72,1,1,1203857.00
0,19,6,0.62,-2.16,0.76,0.55,0,0,1207659.00
0,19,7,3.56,-1.93,4.18,-0.28,0,0,1210766.00
0,19,8,0.66,1.17,0.43,-0.98,0,1,1213936.00
0,19,9,2.00,-0.96,2.23,-2.42,0,0,1216556.00
0,20,0,-1.49,1.49,-1.75,1.42,1,1,1221296.00
0,20,1,-1.88,0.64,0.01,1.31,1,1,1223943.00
0,20,2,-0.63,-0.21,0.65,-2.01,1,0,1226581.00
0,20,3,-1.66,1.29,-1.33,2.35,1,1,1229950.00
0,20,4,-2.21,2.89,-2.23,-0.02,1,1,1232777.00
0,20,5,-1.22,-1.49,0.33,0.78,1,1,1235424.00
0,20,6,-0.56,1.20,-1.61,1.66,1,1,1238291.00
0,20,7,-1.59,-0.52,-1.06,1.04,1,1,1241217.00
0,20,8,-0.73,0.40,-0.35,2.16,1,1,1244131.00
0,20,9,1.46,1.23,1.48,1.84,0,1,1248153.00
0,21,0,-0.80,-1.70,1.73,-1.08,1,1,1253554.00
0,21,1,0.31,0.00,-1.04,-0.45,0,0,1256977.00
0,21,2,-2.02,-0.50,1.18,-0.52,1,1,1259960.00
0,21,3,0.41,-1.61,2.61,-0.51,0,1,1263224.00
0,21,4,-0.25,-1.62,0.28,-1.61,1,1,1267017.00
0,21,5,-3.05,-1.06,2.36,-1.86,1,1,1269901.00
0,21,6,-1.08,0.60,0.26,0.68,1,1,1273943.00
0,21,7,-0.22,0.08,1.71,2.80,1,1,1277404.00
0,21,8,2.64,-1.56,-0.09,0.22,0,0,1280618.00
0,21,9,-1.50,-0.09,2.10,3.11,1,1,1283457.00
0,22,0,-1.50,2.35,-0.11,0.20,1,0,1287966.00
0,22,1,0.27,0.77,0.12,-0.63,1,1,1291702.00
0,22,2,1.41,-0.63,-0.34,-1.91,1,1,1294707.00
0,22,3,-0.82,-2.00,-0.17,2.20,0,0,1297610.00
0,22,4,0.84,-0.20,1.97,0.57,1,1,1300635.00
0,22,5,1.55,-1.31,-2.02,-0.62,1,1,1303780.00
0,22,6,-0.58,-0.03,-1.16,-1.40,0,0,1306835.00
0,22,7,0.61,0.60,-0.86,-0.91,1,1,1309826.00
0,22,8,0.84,-0.53,-1.30,-0.96,1,1,1313003.00
0,22,9,0.21,1.36,1.21,0.81,1,1,1315873.00
0,23,0,-3.71,2.19,-0.27,0.24,1,1,1320590.00
